2016-12-28 13:14:45.185268 I | etcdmain: etcd Version: 3.1.0-rc.1+git
2016-12-28 13:14:45.185738 I | etcdmain: Git SHA: 9690220
2016-12-28 13:14:45.185781 I | etcdmain: Go Version: go1.7.4
2016-12-28 13:14:45.185815 I | etcdmain: Go OS/Arch: linux/amd64
2016-12-28 13:14:45.185853 I | etcdmain: setting maximum number of CPUs to 8, total number of available CPUs is 8
2016-12-28 13:14:45.185900 W | etcdmain: no data-dir provided, using default data-dir ./my-etcd-1.etcd
2016-12-28 13:14:45.186677 I | embed: listening for peers on http://localhost:2380
2016-12-28 13:14:45.186834 I | embed: listening for client requests on localhost:2379
2016-12-28 13:14:45.194974 I | etcdserver: name = my-etcd-1
2016-12-28 13:14:45.195072 I | etcdserver: data dir = my-etcd-1.etcd
2016-12-28 13:14:45.195114 I | etcdserver: member dir = my-etcd-1.etcd/member
2016-12-28 13:14:45.195149 I | etcdserver: heartbeat = 100ms
2016-12-28 13:14:45.195182 I | etcdserver: election = 1000ms
2016-12-28 13:14:45.195215 I | etcdserver: snapshot count = 10000
2016-12-28 13:14:45.195259 I | etcdserver: advertise client URLs = http://localhost:2379
2016-12-28 13:14:45.195300 I | etcdserver: initial advertise peer URLs = http://localhost:2380
2016-12-28 13:14:45.195346 I | etcdserver: initial cluster = my-etcd-1=http://localhost:2380
2016-12-28 13:14:45.444141 I | etcdserver: starting member fd32987dcd0511e0 in cluster 755b248bfe852f6e
2016-12-28 13:14:45.444257 I | raft: fd32987dcd0511e0 became follower at term 0
2016-12-28 13:14:45.444310 I | raft: newRaft fd32987dcd0511e0 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2016-12-28 13:14:45.444348 I | raft: fd32987dcd0511e0 became follower at term 1
2016-12-28 13:14:45.467273 I | etcdserver: starting server... [version: 3.1.0-rc.1+git, cluster version: to_be_decided]
2016-12-28 13:14:45.468061 I | etcdserver/membership: added member fd32987dcd0511e0 [http://localhost:2380] to cluster 755b248bfe852f6e
2016-12-28 13:14:45.745072 I | raft: fd32987dcd0511e0 is starting a new election at term 1
2016-12-28 13:14:45.745293 I | raft: fd32987dcd0511e0 became candidate at term 2
2016-12-28 13:14:45.745363 I | raft: fd32987dcd0511e0 received MsgVoteResp from fd32987dcd0511e0 at term 2
2016-12-28 13:14:45.745427 I | raft: fd32987dcd0511e0 became leader at term 2
2016-12-28 13:14:45.745473 I | raft: raft.node: fd32987dcd0511e0 elected leader fd32987dcd0511e0 at term 2
2016-12-28 13:14:45.745886 I | etcdserver: setting up the initial cluster version to 3.1
2016-12-28 13:14:45.748033 N | etcdserver/membership: set the initial cluster version to 3.1
2016-12-28 13:14:45.748159 I | etcdserver/api: enabled capabilities for version 3.1
2016-12-28 13:14:45.748209 I | embed: ready to serve client requests
2016-12-28 13:14:45.748371 I | etcdserver: published {Name:my-etcd-1 ClientURLs:[http://localhost:2379]} to cluster 755b248bfe852f6e
2016-12-28 13:14:45.748431 E | etcdmain: forgot to set Type=notify in systemd service file?
2016-12-28 13:14:45.749664 N | embed: serving insecure client requests on 127.0.0.1:2379, this is strongly discouraged!
2016-12-28 13:15:42.539762 N | pkg/osutil: received interrupt signal, shutting down...
2016-12-28 13:15:42.539819 I | etcdserver: skipped leadership transfer for single member cluster
